Season,Team,Gtm,Opp,Spread,Total
2015,CRD,1,NOR,-2.0,48.5
2015,CRD,2,@CHI,-2.0,46.0
2015,CRD,3,SFO,-6.5,45.0
2015,CRD,4,STL,-7.0,44.0
2015,CRD,5,@DET,-3.0,45.5
2015,CRD,6,@PIT,-3.5,45.0
2015,CRD,7,BAL,-8.0,49.0
2015,CRD,8,@CLE,-6.0,46.0
2015,CRD,9,@SEA,3.0,44.5
2015,CRD,10,CIN,-4.5,48.5
2015,CRD,11,@SFO,-9.5,45.0
2015,CRD,12,@STL,-4.5,43.0
2015,CRD,13,MIN,-8.5,46.5
2015,CRD,14,@PHI,-3.5,51.5
2015,CRD,15,GNB,-4.5,50.5
2015,CRD,16,SEA,-6.5,47.0
2015,ATL,1,PHI,2.5,54.5
2015,ATL,2,@NYG,2.5,51.0
2015,ATL,3,@DAL,-1.0,43.5
2015,ATL,4,HOU,-6.0,47.0
2015,ATL,5,WAS,-7.0,48.0
2015,ATL,6,@NOR,-3.0,51.0
2015,ATL,7,@TEN,-6.0,47.0
2015,ATL,8,TAM,-7.0,48.5
2015,ATL,9,@SFO,-7.5,44.0
2015,ATL,10,IND,-4.5,47.5
2015,ATL,11,MIN,-2.5,45.5
2015,ATL,12,@TAM,1.0,46.0
2015,ATL,13,@CAR,7.5,46.5
2015,ATL,14,@JAX,3.0,49.0
2015,ATL,15,CAR,6.5,47.5
2015,ATL,16,NOR,-5.5,52.5
2015,RAV,1,@DEN,4.5,48.0
2015,RAV,2,@OAK,-6.0,43.0
2015,RAV,3,CIN,-2.5,44.5
2015,RAV,4,@PIT,-2.5,43.5
2015,RAV,5,CLE,-6.0,42.5
2015,RAV,6,@SFO,-2.0,43.5
2015,RAV,7,@ARI,8.0,49.0
2015,RAV,8,SDG,-3.5,51.0
2015,RAV,9,JAX,-5.0,47.5
2015,RAV,10,STL,-2.5,42.0
2015,RAV,11,@CLE,3.5,41.5
2015,RAV,12,@MIA,3.5,42.5
2015,RAV,13,SEA,11.0,41.0
2015,RAV,14,KAN,6.5,41.0
2015,RAV,15,PIT,10.0,47.0
2015,RAV,16,@CIN,9.5,41.5
2015,BUF,1,IND,2.5,45.0
2015,BUF,2,NWE,1.0,44.0
2015,BUF,3,@MIA,2.5,41.5
2015,BUF,4,NYG,-5.5,45.5
2015,BUF,5,@TEN,-1.0,42.0
2015,BUF,6,CIN,3.0,43.0
2015,BUF,7,@JAX,-4.0,41.0
2015,BUF,8,MIA,-3.0,44.0
2015,BUF,9,@NYJ,2.5,42.5
2015,BUF,10,@NWE,7.0,48.0
2015,BUF,11,@KAN,5.5,41.5
2015,BUF,12,HOU,-3.5,41.5
2015,BUF,13,@PHI,1.0,47.0
2015,BUF,14,@WAS,-2.5,44.0
2015,BUF,15,DAL,-6.5,42.0
2015,BUF,16,NYJ,3.0,42.0
2015,CAR,1,@JAX,-3.0,40.5
2015,CAR,2,HOU,-3.0,39.5
2015,CAR,3,NOR,-9.5,43.5
2015,CAR,4,@TAM,-3.0,40.0
2015,CAR,5,@SEA,7.0,40.5
2015,CAR,6,PHI,-3.0,45.0
2015,CAR,7,IND,-6.5,46.5
2015,CAR,8,GNB,2.5,46.0
2015,CAR,9,@TEN,-4.0,44.5
2015,CAR,10,WAS,-7.0,44.5
2015,CAR,11,@DAL,1.5,45.5
2015,CAR,12,@NOR,-6.5,50.0
2015,CAR,13,ATL,-7.5,46.5
2015,CAR,14,@NYG,-4.0,48.0
2015,CAR,15,@ATL,-6.5,47.5
2015,CAR,16,TAM,-10.0,46.0
2015,CHI,1,GNB,6.5,49.0
2015,CHI,2,ARI,2.0,46.0
2015,CHI,3,@SEA,14.5,43.5
2015,CHI,4,OAK,3.0,44.0
2015,CHI,5,@KAN,9.0,45.0
2015,CHI,6,@DET,3.0,44.0
2015,CHI,7,MIN,1.0,43.0
2015,CHI,8,@SDG,4.5,49.5
2015,CHI,9,@STL,6.5,42.5
2015,CHI,10,DEN,1.0,41.0
2015,CHI,11,@GNB,8.5,44.5
2015,CHI,12,SFO,-6.5,43.5
2015,CHI,13,WAS,-3.5,43.0
2015,CHI,14,@MIN,5.5,43.0
2015,CHI,15,@TAM,3.0,45.0
2015,CHI,16,DET,1.0,45.5
2015,CIN,1,@OAK,-3.0,43.0
2015,CIN,2,SDG,-3.0,47.0
2015,CIN,3,@BAL,2.5,44.5
2015,CIN,4,KAN,-3.5,45.0
2015,CIN,5,SEA,-3.0,43.5
2015,CIN,6,@BUF,-3.0,43.0
2015,CIN,7,@PIT,1.0,48.5
2015,CIN,8,CLE,-11.0,45.0
2015,CIN,9,HOU,-10.5,47.0
2015,CIN,10,@ARI,4.5,48.5
2015,CIN,11,STL,-8.5,42.0
2015,CIN,12,@CLE,-9.0,43.5
2015,CIN,13,PIT,-2.5,50.0
2015,CIN,14,@SFO,-5.5,40.5
2015,CIN,15,@DEN,3.0,39.5
2015,CIN,16,BAL,-9.5,41.5
2015,CLE,1,@NYJ,3.5,39.5
2015,CLE,2,TEN,2.0,41.0
2015,CLE,3,OAK,-3.5,42.5
2015,CLE,4,@SDG,7.0,44.5
2015,CLE,5,@BAL,6.0,42.5
2015,CLE,6,DEN,3.5,42.0
2015,CLE,7,@STL,6.5,41.5
2015,CLE,8,ARI,6.0,46.0
2015,CLE,9,@CIN,11.0,45.0
2015,CLE,10,@PIT,6.0,41.5
2015,CLE,11,BAL,-3.5,41.5
2015,CLE,12,CIN,9.0,43.5
2015,CLE,13,SFO,-1.5,41.5
2015,CLE,14,@SEA,14.0,43.0
2015,CLE,15,@KAN,10.5,42.5
2015,CLE,16,PIT,11.0,46.5
2015,DAL,1,NYG,-6.0,51.5
2015,DAL,2,@PHI,5.0,55.0
2015,DAL,3,ATL,1.0,43.5
2015,DAL,4,@NOR,3.0,48.0
2015,DAL,5,NWE,9.0,49.5
2015,DAL,6,@NYG,3.0,45.0
2015,DAL,7,SEA,4.5,41.0
2015,DAL,8,PHI,3.0,43.5
2015,DAL,9,@TAM,1.0,43.0
2015,DAL,10,@MIA,-1.5,46.0
2015,DAL,11,CAR,-1.5,45.5
2015,DAL,12,@WAS,3.5,42.0
2015,DAL,13,@GNB,6.5,42.5
2015,DAL,14,NYJ,3.0,41.5
2015,DAL,15,@BUF,6.5,42.0
2015,DAL,16,WAS,-3.5,39.5
2015,DEN,1,BAL,-4.5,48.0
2015,DEN,2,@KAN,3.0,42.0
2015,DEN,3,@DET,-3.0,44.5
2015,DEN,4,MIN,-7.0,42.5
2015,DEN,5,@OAK,-4.0,44.0
2015,DEN,6,@CLE,-3.5,42.0
2015,DEN,7,GNB,2.5,45.5
2015,DEN,8,@IND,-5.5,45.5
2015,DEN,9,KAN,-4.5,42.0
2015,DEN,10,@CHI,-1.0,41.0
2015,DEN,11,NWE,2.5,43.5
2015,DEN,12,@SDG,-3.5,43.5
2015,DEN,13,OAK,-6.5,43.5
2015,DEN,14,@PIT,6.0,45.0
2015,DEN,15,CIN,-3.0,39.5
2015,DEN,16,SDG,-10.0,41.5
2015,DET,1,@SDG,2.5,45.5
2015,DET,2,@MIN,2.0,43.5
2015,DET,3,DEN,3.0,44.5
2015,DET,4,@SEA,9.5,43.0
2015,DET,5,ARI,3.0,45.5
2015,DET,6,CHI,-3.0,44.0
2015,DET,7,MIN,2.0,44.5
2015,DET,8,@KAN,3.5,45.0
2015,DET,9,@GNB,10.5,49.5
2015,DET,10,OAK,1.0,49.0
2015,DET,11,PHI,-2.0,46.0
2015,DET,12,GNB,3.0,46.5
2015,DET,13,@STL,-3.5,41.0
2015,DET,14,@NOR,2.5,51.5
2015,DET,15,SFO,-9.5,42.0
2015,DET,16,@CHI,-1.0,45.5
2015,GNB,1,@CHI,-6.5,49.0
2015,GNB,2,SEA,-3.0,49.0
2015,GNB,3,KAN,-6.0,49.0
2015,GNB,4,@SFO,-7.5,48.0
2015,GNB,5,STL,-9.0,45.5
